page_no,page_data,tab_data,image_data
0,"OWNERS MANUAL Revision: Rev 00/SEPT 2021 
",,"<img file_path=(image_punch_bsvi_0_1.jpx)>The image is a black and white image of the word ""REVISION"". The letters are in a bold font and are spaced evenly apart. The text data provided indicates that the word ""REVISION"" is related to the document being an ""OWNERS MANUAL"" and that the revision number is ""Rev 00/SEPT 2021"". This suggests that the image is likely from a manual, and the word ""REVISION"" is likely indicating that the document has been revised or updated.</img>
<img file_path=(image_punch_bsvi_0_2.jpx)>The image is a black and white, top-down view of a car. The car is upside down, and the viewer can see the roof, the windows, and the rear of the car. The car has a spare tire mounted on the back, and the wheels are visible. The image is likely from an owner's manual, as indicated by the text ""OWNERS MANUAL Revision: Rev 00/SEPT 2021"" which is visible in the text data provided.  
</img>
<img file_path=(image_punch_bsvi_0_3.jpx)>The image shows a logo with the letters ""IVIV"" in a bold, sans-serif font in the upper part of the image. The letters are stacked vertically on top of each other.  Below the letters is a stylized, semi-circular design that resembles a sail or a wing. The design is grey and white, with the white portion in the shape of a crescent moon. The logo is likely for a company or organization related to sailing, marine transportation, or aviation, due to the imagery of the sail/wing.  The text data suggests this logo is from an ""OWNERS MANUAL"" document, indicating the logo belongs to a company that produces or sells a product.  The revision date on the document, ""Rev 00/SEPT 2021,"" indicates this is a relatively new or updated manual. 
</img>
<img file_path=(image_punch_bsvi_0_4.jpx)>The image contains a black and white text that says ""L.L.V WOLOBZ"". This seems to be a company or brand name. Below the text is the revision number ""Rev 00/SEPT 2021"". This could indicate that the text belongs to a document, likely an owner's manual, and that it was revised in September of 2021. 
</img>
"
1,"In our constant endeavour to provide assistance and complete service backup, TATA MOTORS has established an all India cus tomer assistance centre. In case you have a query regarding any aspect of your vehicle, our Customer Assistance Centre will be glad to assist you on our Toll Free no. 1800 209 8282 You can also approach nearest TATA MOTORS dealer. A separate Dealer network address booklet is provided with the Owners manual. TATA MOTORS 24X7 Roadside Assistance Program offers tech nical help in the event of a breakdown. Call the toll-free Road- side Assistance. For additional information, refer to ""24X7 Roadside Assis- tance"" section in the Owners manual. 
",,"<img file_path=(image_punch_bsvi_1_1.jpx)>The image shows a collection of 12 black and white rectangles, each representing a different service offered by Tata Motors. The services include Expert Diagnostic, Quality Service, Building Competence and Certification, Warranty Extended, Rapid Repair, Value Care, 24x7 Roadside Assistance, Mobile Service Doorstep, Speed-O-Service, Online Service, Quick Repair, and Body & Paint Refinishing Solutions. Each rectangle contains a relevant icon or illustration that depicts the service, along with the name of the service and the Tata Motors logo. The overall message conveyed is that Tata Motors offers a wide range of services to meet the diverse needs of its customers.  
</img>
"
2,"Dear Customer, Welcome to the TATA MOTORS family. We congratulate you on the purchase of your new vehicle and are privileged to have you as our valued customer. We urge you to read this Owner's Manual carefully and familiarize yourself with the equipment descriptions and operating instructions before driving. Always carry out prescribed service / maintenance work as well as any required repairs at an authorized TATA MOTORS Dealers or Authorized Service Centres (TASCs). Use only genuine parts for continued reliability, safety and performance of your vehicle. You are welcome to contact our dealer or Customer Assistance toll free no. (1800 209 8282) in case of any query or support required. We wish you a safe and pleasant driving experience. 
",,"<img file_path=(image_punch_bsvi_2_1.jpx)>The image contains the logo of Tata Motors in bold, black letters. The logo is centered and is the only element in the image. The logo is in a sans-serif font and is a slightly stylized version of the company name. The logo is reminiscent of the logo of an automobile company, which makes sense given that Tata Motors is an Indian multinational automotive manufacturing company. 
</img>
"
3,"Before driving, read this Owners manual carefully and familiarize yourself with your vehicle. For your own safety and a longer ve-hicle life, follow the instructions, Warnings and Notes in this manual. Ignoring them could result in damage to the or personal injury to you or others. The Owners manual and other booklets are important documents and should always be kept in the vehicle. If you sell the vehicle, always pass on the documents to the new owner. This Owner's Manual describes all variants of the model and all standard/optional equipment of your vehicle available at the time of printing. Please note that your vehicle may not be equipped with all features described. TATA MOTORS PASSENGER VEHICLE LIMITED reserves the right to introduce changes in the design, equipment and technical features without any obligation to install them on the vehicles previously sold. The equipment in your vehicle may therefore differ from that shown in the descriptions and illustrations. Do not carry out any modification including fitment of non-genuine accessories on your vehicle. Safety, handling, performance and durability, may otherwise be adversely affected and may violate government regulations. TATA MOTORS PASSENGER VEHICLE LIMITED no liability for damage resulting from the modifications or use of non-genuine accessories. All rights reserved. The information in this manual shall not be copied, translated or otherwise reproduced, in whole or inpart without written permission from TATA MOTORS. Copyright TATA MOTORS 2021 
",,"<img file_path=(image_punch_bsvi_3_1.png)>The image is a copyright symbol, which is a circle with a letter C inside. It is a legal symbol used to indicate that the work is protected by copyright law.  The symbol is used to prevent unauthorized reproduction or distribution of the work. The copyright symbol is often used in conjunction with a copyright notice, which typically includes the copyright holder's name and the year of creation.  In this case, the copyright symbol is accompanied by the text ""Copyright TATA MOTORS 2021"" which indicates that the document is copyrighted by TATA MOTORS.</img>
"
4,"Doors 31 Windows 32 Tail Gate Opening 36 Fuel Lid 37 Supplementary Restraint System (srs) (airbags) (if equipped) 12 Child Lock (if equipped) 18 Anti-theft Device Immobilizer / PEPS 19 Anti-lock Braking System (ABS) 20 Electronic Brake Force Distribution (EBD) 21 Brake Sway Control (bsc) 21 Stuck Mode Recovery (traction Pro) (if applica ble) 21 Keys 25 Smart Key (if available) 27 Smart Key Features 28 Flip Key 29 Flip Key Features 30 Cockpit 39 Instrument Cluster (TFT Screen) 40 Instrument Cluster (LCD Screen) 56 Tell Tales 68 Audio Reminders (as available) 75 Combi-switch (RH Stalk) (if available) 76 Head Lamp Leveling Rotary Switch 77 Combi-switch (LH Stalk) (if available) 77 Dashboard Controls 79 Steering Mounted Controls (LHS) (if available) 80 Steering Mounted Controls (RHS) (if available) 81 Mic (if available) 83 Infotainment System Display (if available) 83 Speakers & Tweeter (if available) 84 01. SAFETY Important Information Seat Belts Child Restraint System (CRS) 03. DASHBOARD AND FEATURES 02. OPENING AND CLOSING 
","<tab>The table appears to list various vehicle features and safety information, organized into sections. The first section, titled ""Safety,"" contains sub-categories such as seat belts, child restraint systems, supplementary restraint systems (airbags), child locks, and anti-theft devices. It also includes references to anti-lock braking systems, electronic brake force distribution, brake sway control, and stuck mode recovery. 

The second section, ""Opening and Closing,"" seems to focus on the different openings and closures in the vehicle, although the specific data is cut off in the table extract. The numbered references correspond to locations in a vehicle where these features can be found or accessed. For instance, 31 refers to doors, 32 to windows, and 37 to the fuel lid. 

The final section, ""Dashboard and Features,"" covers aspects like the instrument cluster, including TFT and LCD screens, various reminders and switches located on the vehicle's dashboard and steering mounts, the infotainment system, and audio components such as speakers and tweeters.

The information is presented in a way that seems tailored for a vehicle's manual, listing the different features, their locations, and their functionalities. However, the extract provided captures only parts of the full table, making it challenging to glean the complete picture.</tab>
<tab>The table seems to contain two pieces of information: a list of locations on a car and the corresponding number of components each location houses. The first location is listed as Doors, which has 31 components. Following this, the Windows location has 32 components, and the Tail Gate Opening holds 36. The final entry is the Fuel Lid, which contains 37 components.

The second set of data seems to be a list of various car systems, along with the page number where they are located in the provided manual. The Supplementary Restraint System, which likely refers to airbags, is on page 12. The Child Lock system can be found on page 18, while the Anti-theft Device Immobilizer and PEPS are detailed on page 19. Page 20 contains information on the Anti-lock Braking System, and the following page describes the Electronic Brake Force Distribution and Brake Sway Control. Stuck Mode Recovery is outlined on page 21, while keys can be found on page 25, and Smart Key features are on page 27. Page 28 describes the Flip Key, and its features are detailed on page 30. 

The cockpit and its features are spread across several pages. The Instrument Cluster with a TFT Screen begins on page 39, and the version with an LCD Screen is found on page 56. Page 68 contains tell-tale signs and audio reminders, while the Combi-switch can be found on the right-hand stalk at 76, and the Head Lamp Leveling Rotary Switch is on page 77. The left-hand Combi-switch and dashboard controls are described on page 79 and 81, respectively. If the vehicle has a microphone, it's located on page 83, along with the Infotainment System Display and Speakers & Tweeter. Finally, seat belts and the Child Restraint System are detailed at the beginning of Section 01, while information on opening and closing various car components begins in Section 02.</tab>
<tab>The data appears to be a list of car features and the locations at which they can be found within the vehicle. The first row indicates that the features are related to a dashboard and its associated elements. 

The following rows provide the names of various features and the frequency of their appearance is indicated in the corresponding columns. The numbers in the frequency column represent the paragraph numbers in the subsequent narrative that describes the locations of these features.

For example, the cockpit is mentioned twice, once in relation to the dashboard and once in a paragraph about steering-mounted controls. This indicates that the dashboard and cockpit are connected in some way.

The narrative sections described in the frequency columns seem to relate to different aspects of the vehicle, such as safety features, dashboard details, and opening/closing mechanisms. The table provides a glimpse into the various components of a car and their respective locations, offering a concise yet detailed overview of the vehicle's design and functionality.</tab>
<tab>The table appears to list various vehicle features and the page numbers on which they are covered in a certain manual. The features are categorized into different sections such as 'Opening and Closing', 'Keys', 'Smart Key', 'Cockpit', and 'Safety'. 

The 'Opening and Closing' section details various opening and closing mechanisms in a vehicle, including door, window, tail gate, and fuel lid operations. This is followed by a section on keys, detailing different types of keys and their respective features, such as Smart Key and Flip Key, and their associated functionalities.

The manual then seems to transition into discussing the vehicle's interior, with the 'Cockpit' section covering elements like the instrument cluster, various telltales, audio reminders, and combi-switches. This is followed by a safety section, which includes information on seat belts and child restraint systems.

Overall, the table's data suggests it is a contents page or an extract from a vehicle manual, outlining the page numbers where various vehicle features and functionalities can be found. The data has a clear structure, organizing the different features for ease of reference.</tab>
",
5,"Usb Port (if available) 85 Power Socket (if available) 85 Antenna 86 Roof Grab Handle 86 Roof Lamp 87 Boot Lamp (if available) 87 Front Lamp 88 Tail Lamp 88 Fully Automatic Temperature Control (FATC) (if available) 100 Pre Driving Checks 107 Driving Tips 108 Seat Adjustments 110 Rear View Mirrors 114 Orvm Folding (as applicable) 115 Sun Visors (if available) 116 Electric Power Assisted Steering (EPAS) 116 Steering Wheel Adjustment 117 Steering Lock And Ignition Switch (if available) 118 Starting And Stopping (without PEPS) 119 Starting And Stopping (PEPS) (if available) 120 Engine Passive Start - Conditions 121 Engine Passive Stop - Conditions 122 Gear Shifting 122 Reverse Gear 123 Driving 123 Storage Compartment 89 Hooks (if available) 94 Tag Holder (if available) 95 Front Seat Back Pockets (if available) 95 Air Distribution 97 Air Vents 98 Electronic Temperature Control (etc) (if avail able) 98 06. STARTING AND DRIVING 04. STOWAGE AREAS 05. CLIMATE CONTROL 
","<tab>The table seems to be a list of car features and their corresponding locations or instructions, with some focus on the interior and driving aspects. It provides a comprehensive guide for users to be aware of the car's specifications and functionality.

The first column seems to be headers for the data listed in the second and third columns. Some of the car's features include USB ports and power sockets, both located at 85; antenna, roof grab handle, and roof lamp, all found at 86; and boot lamp and front lamp, positioned at 87 and 88 respectively.

The list continues with several driving-related mechanisms, such as the steering wheel and lock, reverse gear, and gear shifting, all detailed with their respective locations. The final section appears to be an overview of the car's climate control options, including temperature regulation and air distribution, aimed at ensuring passenger comfort.

Overall, this table appears to be a comprehensive guide, offering a clear and concise layout of the car's interior features, driving functionalities, and climate control systems. It serves as a useful reference for users to navigate and understand the vehicle's various aspects.</tab>
<tab>The table appears to be organized into three main sections, with the first section being a list of topics related to starting and driving a vehicle. The second section, which is titled ""Stowage Areas,"" briefly mentions various storage features that might be found inside a vehicle, such as USB ports, power sockets, and compartments. The third section covers climate control systems, including temperature regulation and air vents.

The first section provides an extensive list of topics, offering a comprehensive guide on vehicle operation. It encompasses pre-driving checks, driving tips, and adjustments that one might need to make behind the wheel. This includes configuring seat positions, rear-view mirrors, and sun visors. There are also instructions on using power-assisted steering, adjusting the steering wheel, and understanding steering locks. The section contains guidelines on starting and stopping the vehicle, including the use of passive start and stop conditions, and navigating gears. 

Lastly, the section offers insights into the actual driving experience, with tips on reverse gear engagement and general driving. The second and third sections seem to provide a glimpse into the various convenience and comfort features that a vehicle might offer, focusing on storage solutions and climate control options.</tab>
<tab>The table appears to list items for an automotive interior, specifically storage areas and their corresponding locations or quantities. The first row indicates the category as 'Stowage Areas.' The subsequent rows seem to provide details. For instance, the 'Storage Compartment' is mentioned along with the quantity of '89.' Similarly, 'Hooks' and 'Tag Holder' are listed with quantities of '94' and '95' respectively. The front seat back pockets are also mentioned with the same quantity as the tag holder. 

The data also encompasses various vehicle features, likely grouped under different categories. The features include USB ports, power sockets, and roof handles, each with their respective quantities or locations.

Additionally, there are categories such as 'Starting and Driving' and 'Climate Control,' which presumably refer to relevant vehicle operations and systems. These categories contain a numbered list of items ranging from seat adjustments to steering lock and ignition. Overall, the data seems to comprehensively detail the specifications and features of a vehicle's interior, offering insights into both storage capabilities and functional aspects.</tab>
<tab>The table seems to be a summary of the features and functionalities of a vehicle, focusing on climate control, starting, and driving aspects. It provides a breakdown of different components and systems, with each component assigned a corresponding percentage value, likely indicating their availability or relevance. 

For climate control, the table includes air distribution and vents, with corresponding values of 97%. There's also a mention of electronic temperature control, which scores 98%. 

Starting and driving-related information is also present, detailing aspects like USB port, power socket, and antenna placement, all rated at 85%. This section also covers roof grab handles, lamps in the boot, front, and tail, with values varying between 86% and 100%. 

The table further delves into driving-related features such as fully automatic temperature control, scoring 100%, and provides a comprehensive list of topics for pre-driving checks, driving tips, and seat adjustments, all of which fall between the 107-123% range. 

Overall, the data appears to be a comprehensive overview of the vehicle's key features, presented in a tabular format, offering insights into the availability and significance of various functionalities.</tab>
",
6,"Automated Manual Transmission (AMT) (If fit ted) 124 Starting The Engine 129 Braking 130 Drive Mode 131 Current Gear Indication 131 Gear Recommendation 132 Idle Stop Start (iss) (if available) 133 Parking Brake 138 Vehicle Parking 139 Reverse Park Assist With Sensor (if available) 140 Rear View Camera (if available) 142 Fuses 166 Bulb Specification 171 24 X 7 Road Assistance 173 Emergency Equipment 149 Spare Wheel Removal Process 151 In Case Of Flat Tyre 151 Puncture Repair Kit (if available) 155 Jump Starting Your Car 162 Towing 164 Maintenance And Service 177 Engine Compartment (MT) 178 Engine Compartment (AMT) 178 Engine Oil Level 180 Brake Fluid Level 181 Engine Coolant Level 181 Checking Amt Oil Reservoir Level 182 Windshield Washer Fluid Level 183 Battery 183 Spark Plug (petrol) 185 Tyres 185 Smart Key Battery Replacement (For PEPS variant) 188 On Board Diagnostic (OBD II) System 189 Service Instructions 190 08. MAINTENANCE 07. EMERGENCY AND BREAKDOWN ASSISTANCE 
","<tab>The table seems to be a list of topics and their corresponding page numbers, likely extracted from a manual or handbook. The topics are varied and relate to different aspects of operating and maintaining a vehicle.

It begins with entries about transmission, with the first being 'Automated Manual Transmission (AMT) (If fitted)' on page 124, followed by entries about starting the engine, braking, and selecting drive modes. There are also sections about indicating and recommending gears, as well as vehicle parking, all located within pages 129 to 142.

The handbook then seems to move on to discuss emergency features, with entries about the parking brake, reverse park assist, and rear view camera. Following this, there's a section about fuses and bulb specifications, 24/7 road assistance, and emergency equipment, spanning pages 166 to 173. 

The final sections appear to focus on vehicle maintenance, covering topics such as spare wheel removal, flat tire management, engine compartment access, and fluid levels for oil, brake fluid, and coolant. There are also instructions on jump-starting the car, towing, and general service and maintenance guidelines, located towards the end of the handbook on pages 189 and 190, which is titled as 'Maintenance'.</tab>
<tab>The table appears to be an index of sorts, detailing sections of an automobile user manual. It seems to be divided into two main parts; the first section covers general vehicle features and the second relates to vehicle maintenance and emergency assistance. 

The first half contains entries for features such as fuses, bulb specifications, 24/7 road assistance, and various safety and convenience-related technologies like parking sensors, reverse cameras, and idle stop-start systems.

The second half of the table focuses on maintenance and emergency procedures, offering guidance on topics from checking the engine oil level to jump-starting the car and towing procedures. This section also includes a troubleshooting guide for flat tires, with instructions on spare wheel removal and puncture repair. 

Overall, this table appears to be an extensive, comprehensive index of topics covered in a detailed user manual for a modern automobile. The manual provides a wide range of information, from the routine checks and maintenance tasks that drivers can perform, to the specifications of the vehicle's lighting and assistance systems.</tab>
<tab>The table contains two columns: the first with titles of different car components and systems, and the second with corresponding page numbers where maintenance and service instructions can be found in the car's manual. The entries are organized into broad categories such as ""Maintenance,"" ""Emergency and Breakdown Assistance,"" and various other systems and components.

The maintenance section, for instance, gives instructions on how to check the levels of fluids such as engine oil, brake fluid, and engine coolant, as well as how to replace the battery and check the tire pressure. There are also sections dedicated to starting the engine, braking systems, and drive modes, each with their own detailed guidelines. The table also includes sections for troubleshooting flat tires, jump-starting the car, and using the on-board diagnostic system.

It seems like a comprehensive list of maintenance and emergency procedures, with each entry providing a quick reference to the relevant page numbers in the manual where users can find detailed information. This way, users can easily navigate the complex world of car maintenance and emergencies, finding the relevant sections in the manual without having to browse through the entire document.</tab>
<tab>The table appears to be organized into two main sections, with the header row containing the first section titled '07. Emergency and Breakdown Assistance' and the subsequent row acting as a subheader, dividing the data into further categories. 

The first section contains information on various aspects of emergency equipment and procedures, providing page numbers for each topic. It lists essentials such as spare wheel removal, guidance for flat tires and jump-starting a car, and the locations of essential equipment like the spare wheel and puncture repair kits. 

The second section, divided under the subheader, focuses on maintenance and service, covering areas such as checking fluid levels for engine oil, brake fluid, and coolant, as well as battery replacement and tire maintenance. This section also offers insights into the locations of critical components in the engine compartment and provides instructions on servicing the vehicle. 

The data seems to be a comprehensive guide, offering essential information for emergency situations and routine maintenance, with each topic offering detailed instructions or explanations alongside their corresponding page numbers.</tab>
",
7,"Service Schedule 191 Vehicle Parking For Long Duration (Non - Use Maintenance) 196 Vehicle Warranty: Terms And Conditions 219 Environmental Safety 221 Fuel Specification 197 Lubricant Specification 198 Technical Specifications 200 Vehicle Dimensions 203 Aggregate Identification Numbers 204 Car Care 205 Fast Tag 207 Value Care - Amc 208 Extended Warranty 212 Value Added Services 214 Vehicle Exterior Enrichment 216 Vehicle Interior Enrichment 217 11. WARRANTY - TERMS AND CONDITIONS 09. TECHNICAL INFORMATION 12. ENVIRONMENT SAFETY 10. VEHICLE CARE AND VALUE ADDED SERVICES 
","<tab>The table appears to list different categories or titles of technical information regarding vehicle maintenance, specifications, and safety, with corresponding page numbers where one might find further details. 

The categories include various topics such as fuel and lubricant specifications, technical specifications, vehicle dimensions, and identification numbers. There are also references to sections titled ""Service Schedule"", ""Vehicle Warranty"", ""Environmental Safety"", and ""Vehicle Care and Value Added Services"", each with their corresponding page numbers. 

It seems like a contents page or an extract from a vehicle manual, offering an overview of the different subjects covered and the page locations for each. The layout is structured and concise, providing a quick reference guide to the various technical aspects of vehicle ownership and maintenance.</tab>
<tab>The table appears to list various topics or categories related to vehicle care, warranty conditions, and value-added services. Each row contains a main category or header and the corresponding page numbers where they can be found.

Starting with the category ""Vehicle Care and Value Added Services,"" the subcategories include Car Care on page 205, Fast Tag on page 207, Value Care and Amc on page 208, and more. 

The next section, titled ""Warranty - Terms and Conditions,"" seems to be included as well, with no subcategories shown in the data provided. This section is located on page 09. 

Following this, there's a section titled ""Environmental Safety"" on page 212, which appears to be mistakenly listed twice, once in the Vehicle Care section and once in the Warranty Conditions section. The final category mentioned in the table is ""Technical Information,"" located on page 214. 

The layout and content of the table suggest it may be an index or table of contents for a more comprehensive vehicle maintenance and care manual or handbook. The information is presented in a structured manner, with each category and its corresponding page number clearly listed.</tab>
",
8,"IMPORTANT INFORMATION In this Owners Manual, you will find the text under the heading WARNING and NOTE which highlights important infor mation. Pay particular attention to these highlighted messages. Safety Tips Safe Driving Safety consciousness not only ensures your safety and the safety of other road users, but it also helps to reduce the wear and tear on your vehicle. Safe driving depends on: Always take into account the road con ditions, weather conditions, vehicle speed in order to prevent accidents. Turn ON the side indicators at least 30 meters before taking a turn or changing the lane. How quickly you make decisions to avoid an accident. Your ability to concentrate. Decelerate to a safe speed before tak ing turn. Do not apply brakes during cornering. How well you can see and judge ob jects. When overtaking other vehicles, watch out for the oncoming vehicle. How well familiar you are with your ve hicle controls and its capabilities. test Never drive under the influence of al cohol or drugs. If your vehicle is equipped with info tainment/navigation system, set and make changes to your travel route only when the vehicle is parked. Program radio presets with the vehicle parked, and use your programmed presets to make radio use quicker and simpler. NOTE Indicates additional information that will assist you in gaining the optimum ben efit and care for your vehicle. WARNING Indicates procedures or information that must be followed precisely in order to avoid the possibility of severe personal injury and serious damage to the vehi cle. NOTE Fatigue is a result of physical or mental exertion that impairs judgment. Driver fatigue may be due to inadequate sleep, extended work hours, strenuous work or non-work activities or combina tion of other factors. Take rest at regular intervals. 
",,"<img file_path=(image_punch_bsvi_8_1.png)>I am sorry, I cannot see or analyze any image as I am a text-based chat assistant and do not have the ability to process any image. 
</img>
<img file_path=(image_punch_bsvi_8_2.png)>The image is blank and contains no content.  The provided text describes the importance of</img>
"
9,"Driving on a Rainy Day Driving Through Water Do not drive through flooded areas. Judge the depth of water before driving through it. Otherwise, water may enter the vehicle interior or the engine compartment. If at all the situation demands that you have to drive through water then; Check wiper blades, lights and brakes for proper functioning and condition. Check the tyre treads depth, the con dition of the tread and tyre. Keep engine in higher RPM and crawl the vehicle in low gear. Avoid harsh braking and sharp turns. It may cause loss of control and lead to a skid. For slowing down, shift to lower gears and brake gently. Keep lights ON if visibility is poor. Driving on Wet Roads On wet road or during light showers, Aquaplaning can occur. Aquaplaning is the loss of direct contact between the road surface and the vehicles tires due to a water film forming between them. Steering or braking the vehicle can be very difficult, and loss of control can occur. There is no hard and fast rule about aquaplaning. The best advice is to slow down when the road is wet. Night Driving Flowing or rushing water creates strong forces. Driving through flowing water could cause the vehicle to about trying to drive through flowing water. Ensure that all lights are working and windshield, window glasses are clean. Drive more slowly at night than in the daytime, as the visual range is re stricted at night. Maintain a speed such that you can stop within illuminated distance of head lamps. Lightly apply the brake pedal to dry the liners until the brakes work normally once you are out of water. Do not use the high beam unless in evitable. It may dazzle the driver of the oncoming vehicle, thus causing an ac cident. Use head lamp main/dip beam to alert other road users on turns/ cross roads. Use side indicators for lane change or turning. NOTE If you have driven for a long time in heavy rain without braking, there may be a delayed reaction from the brakes when braking for the first time. You have to press the brake pedal more firmly. Maintain a greater distance from the ve hicle in front. WARNING Do not attempt to start the engine if ve hicle gets flooded due to water. Tow the vehicle to a safe place. Contact a near est TATA MOTORS Authorised Service Centre 
",,"<img file_path=(image_punch_bsvi_9_1.png)>The image is a blank white space,  there is no image to summarize.  The text provided discusses the dangers of driving in rainy conditions and provides safety tips for</img>
<img file_path=(image_punch_bsvi_9_2.png)>The image is a white page with no content. Therefore, I cannot provide a summary of the image. 
</img>
"
